Job ID,Job Title,Department,Job Category,Job Subcategory,Education Requirement,Certification Required,Experience Level,Fellowship Required,Key Skills,Tools Used,Work Setting,Job Description,Growth Outlook,Minimum salary,Maximum salary, 
ED-011,Radiology Technologist - Emergency,Emergency,Diagnostic,Medical Imaging,Associate Degree,"ARRT, BLS",Mid-Level,No,"X-ray imaging, CT scanning, Patient positioning, Radiation safety","X-ray machines, CT scanners, Portable imaging equipment, PACS systems",Emergency Department Radiology,Perform diagnostic imaging procedures for emergency patients using various radiological equipment.,High,55000,70000, 
ED-012,Emergency Department Pharmacist,Emergency,Clinical,Clinical Pharmacist,PharmD,"BCPS, BLS",Senior,No,"Medication management, Drug interactions, Clinical consultation, Emergency protocols","Pharmacy information systems, Automated dispensing systems, EMR systems",Emergency Department Pharmacy,Provide pharmaceutical care and medication management for emergency patients and clinical staff.,High,120000,150000, 
ED-013,Emergency Department Medical Assistant,Emergency,Support,Clinical Support,Medical Assistant Certificate,"CMA, BLS",Junior,No,"Vital signs, Patient preparation, Documentation, Phlebotomy","Vital signs equipment, EKG machines, Phlebotomy supplies, EMR systems",Emergency Department,Assist healthcare providers with clinical tasks and patient care coordination in emergency settings.,High,38000,48000, 
ED-014,Emergency Department Unit Clerk,Emergency,Administrative,Clerical Support,High School Diploma,Medical Terminology preferred,Junior,No,"Data entry, Phone communication, Scheduling, Medical terminology","Computer systems, Phone systems, Fax machines, EMR systems",Emergency Department,"Provide administrative support including patient registration, phone management, and coordination of departmental activities.",Moderate,32000,42000, 
ED-015,Emergency Department Manager,Emergency,Administrative,Department Management,BSN/MBA,"CEN, ACLS, Management certification",Senior,No,"Leadership, Budget management, Quality improvement, Staff development","Management software, Budget systems, Quality metrics tools, EMR systems",Emergency Department,"Oversee daily operations of emergency department including staff management, quality assurance, and resource allocation.",High,85000,120000, 
ED-016,Laboratory Technician - Emergency,Emergency,Diagnostic,Laboratory Services,Associate Degree,"MLT, BLS",Mid-Level,No,"Specimen processing, Laboratory testing, Quality control, Rapid diagnostics","Laboratory analyzers, Microscopes, Centrifuges, LIMS systems",Emergency Department Lab,Perform urgent laboratory tests and specimen processing for emergency patients requiring immediate results.,High,45000,58000, 
ED-017,Emergency Department Social Worker,Emergency,Support,Patient Services,MSW,"LCSW, Crisis intervention training",Mid-Level,No,"Crisis intervention, Resource coordination, Family support, Discharge planning","Case management software, Resource databases, Communication systems",Emergency Department,Provide psychosocial support and resource coordination for patients and families in crisis situations.,High,55000,75000, 
ED-018,Emergency Department Chaplain,Emergency,Support,Spiritual Care,Master of Divinity,Board Certified Chaplain,Mid-Level,No,"Spiritual counseling, Crisis support, Interfaith competency, Bereavement care","Paging systems, Mobile communication devices, Resource materials",Emergency Department,"Provide spiritual and emotional support to patients, families, and staff during medical emergencies and crises.",Moderate,50000,70000, 
ED-019,Critical Care Transport Nurse,Emergency,Clinical,Transport Specialist,BSN,"CCRN, ACLS, PALS, BLS",Senior,No,"Critical care transport, Mechanical ventilation, Hemodynamic monitoring, Flight medicine","Transport ventilators, Portable monitors, IV pumps, Emergency medications",Air/Ground Transport/Emergency Department,Provide critical care nursing during patient transport between facilities and emergency departments.,High,75000,95000, 
ED-020,Emergency Medicine Fellowship - Pediatric,Emergency,Clinical,Fellowship Physician,MD/DO + EM Residency,"ABEM, ACLS, PALS, BLS",Senior,Yes,"Pediatric emergency care, Child development, Family communication, Pediatric procedures","Pediatric equipment, Broselow tape, Pediatric monitors, Child-friendly tools",Pediatric Emergency Department,"Specialize in emergency medical care for infants, children, and adolescents through fellowship training.",High,65000,75000, 
ED-021,Emergency Medicine Fellowship - Toxicology,Emergency,Clinical,Fellowship Physician,MD/DO + EM Residency,"ABEM, ACLS, BLS",Senior,Yes,"Toxicology assessment, Antidote management, Poison control, Clinical toxicology","Toxicology references, Antidote protocols, Laboratory systems, Poison databases",Emergency Department/Toxicology Unit,Specialize in diagnosis and treatment of poisoning and toxic exposures through fellowship training.,Moderate,65000,75000, 
ED-022,Emergency Ultrasound Technologist,Emergency,Diagnostic,Ultrasound Specialist,Associate Degree,"ARDMS, BLS",Mid-Level,No,"Point-of-care ultrasound, Emergency imaging, Equipment maintenance, Image interpretation","Portable ultrasound machines, Image storage systems, Ultrasound probes, PACS systems",Emergency Department,Perform emergency ultrasound examinations and assist physicians with point-of-care imaging procedures.,High,58000,75000, 
ED-023,Emergency Department Quality Coordinator,Emergency,Administrative,Quality Assurance,Bachelor Degree,"CPHQ, Healthcare quality certification",Mid-Level,No,"Quality metrics, Data analysis, Process improvement, Regulatory compliance","Quality management software, Data analytics tools, Dashboard systems, Reporting tools",Emergency Department,"Monitor and improve quality metrics, patient safety indicators, and compliance with healthcare standards.",High,65000,85000, 
ED-024,Emergency Department Scribe,Emergency,Administrative,Medical Documentation,High School/Certificate,Medical scribe certification,Junior,No,"Medical terminology, Electronic documentation, Real-time charting, Clinical workflow","EMR systems, Mobile devices, Voice recognition software, Documentation templates",Emergency Department,Provide real-time documentation support to physicians by entering patient information and clinical notes.,High,32000,42000, 
ED-025,Emergency Department Respiratory Therapist,Emergency,Clinical,Respiratory Care,Associate Degree,"RRT, ACLS, BLS",Mid-Level,No,"Mechanical ventilation, Airway management, Arterial blood gas analysis, Respiratory protocols","Ventilators, Nebulizers, Oxygen delivery systems, ABG analyzers",Emergency Department,Provide respiratory care and airway management for emergency patients with breathing difficulties and respiratory distress.,High,58000,75000, 
ED-026,Emergency Department Security Officer,Emergency,Support,Safety and Security,High School Diploma,"Security certification, De-escalation training",Junior,No,"Conflict resolution, Crisis intervention, Safety protocols, Emergency response","Communication devices, Security systems, Emergency alarms, Restraint equipment",Emergency Department,Maintain safety and security in emergency department by managing disruptive situations and ensuring staff and patient safety.,Moderate,35000,45000, 
ED-027,Emergency Department Nutritionist,Emergency,Support,Nutrition Services,Bachelor in Nutrition,"RD, CDN",Mid-Level,No,"Nutritional assessment, Diet planning, Clinical nutrition, Patient education","Nutrition software, Dietary assessment tools, Educational materials, Communication systems",Emergency Department,Provide nutritional assessment and dietary recommendations for emergency patients with complex medical conditions.,High,52000,68000, 
ED-028,Emergency Medicine Fellowship - Ultrasound,Emergency,Clinical,Fellowship Physician,MD/DO + EM Residency,"ABEM, ACLS, BLS, Ultrasound certification",Senior,Yes,"Emergency ultrasound, Point-of-care imaging, Ultrasound-guided procedures, Teaching","Ultrasound machines, Imaging workstations, Procedure guidance tools, Educational systems",Emergency Department/Ultrasound Suite,Specialize in emergency ultrasound and point-of-care imaging through fellowship training and education.,High,65000,75000, 
ED-029,Emergency Department Case Manager,Emergency,Administrative,Case Management,BSN/MSN,"CCM, CEN preferred",Mid-Level,No,"Discharge planning, Resource coordination, Insurance authorization, Care transitions","Case management software, Insurance systems, Resource databases, Communication tools",Emergency Department,Coordinate patient care transitions and discharge planning to ensure appropriate follow-up and resource utilization.,High,68000,85000, 
ED-030,Emergency Department Infection Control Specialist,Emergency,Support,Infection Prevention,BSN,"CIC, ACLS, BLS",Senior,No,"Infection prevention, Epidemiology, Isolation protocols, Outbreak management","Surveillance software, Testing equipment, PPE supplies, Disinfection systems",Emergency Department,Monitor and prevent healthcare-associated infections through surveillance and implementation of infection control measures.,High,70000,90000, 
CARD-001,Cardiologist,Cardiology,Clinical,Attending Physician,MD/DO,"ABIM-Cardiology, ACLS, BLS",Senior,Yes,"Cardiac catheterization, Echocardiography, Stress testing, Clinical assessment","Cardiac catheterization lab, Echocardiogram machines, Stress test equipment, EMR systems",Cardiology Clinic/Hospital,"Diagnose and treat cardiovascular diseases including heart attacks, arrhythmias, and heart failure. Perform cardiac procedures and manage complex cardiac conditions.",High,350000,500000, 
CARD-002,Interventional Cardiologist,Cardiology,Clinical,Specialist Physician,MD/DO,"ABIM-Cardiology, ABIM-Interventional Cardiology, ACLS, BLS",Senior,Yes,"Cardiac catheterization, Angioplasty, Stent placement, Complex interventional procedures","Cardiac catheterization lab, Angioplasty equipment, Intravascular ultrasound, Stent delivery systems",Cardiac Catheterization Lab,"Perform minimally invasive cardiac procedures including angioplasty, stent placement, and complex interventional treatments for coronary artery disease.",High,450000,650000, 
CARD-003,Electrophysiologist,Cardiology,Clinical,Specialist Physician,MD/DO,"ABIM-Cardiology, ABIM-Electrophysiology, ACLS, BLS",Senior,Yes,"Arrhythmia management, Pacemaker implantation, Ablation procedures, Electrophysiology studies","EP lab equipment, Pacemaker/ICD devices, Ablation catheters, Mapping systems",Electrophysiology Lab,"Diagnose and treat heart rhythm disorders through advanced procedures including ablations, pacemaker implantations, and electrophysiology studies.",High,400000,600000, 
CARD-004,Cardiology Fellow,Cardiology,Clinical,Fellowship Physician,MD/DO + Internal Medicine Residency,"ABIM-Internal Medicine, ACLS, BLS",Mid-Level,Yes,"Cardiac assessment, Echocardiography, Cardiac catheterization training, Research","Echocardiogram machines, Cardiac monitors, Catheterization equipment, Research databases",Cardiology Department/Hospital,Complete advanced training in cardiology while providing patient care under supervision and conducting clinical research.,High,60000,70000, 
CARD-005,Cardiology Nurse Practitioner,Cardiology,Clinical,Advanced Practice Nurse,MSN,"ACLS, BLS, CCRN preferred",Mid-Level,No,"Cardiac assessment, Patient education, Medication management, Heart failure management","Stethoscopes, EKG machines, Cardiac monitors, EMR systems",Cardiology Clinic/Hospital,"Provide comprehensive cardiac care including assessment, diagnosis, and management of cardiovascular conditions in collaboration with cardiologists.",High,110000,140000, 
CARD-006,Cardiac Nurse,Cardiology,Clinical,Registered Nurse,BSN/ADN,"ACLS, BLS, CCRN preferred",Mid-Level,No,"Cardiac monitoring, Medication administration, Patient education, Post-procedure care","Cardiac monitors, IV pumps, Defibrillators, Telemetry systems",Cardiac Unit/Telemetry Unit,"Provide specialized nursing care for patients with cardiovascular conditions including monitoring, medication administration, and patient education.",High,70000,90000, 
CARD-007,Cardiac Catheterization Technologist,Cardiology,Diagnostic,Cardiovascular Technologist,Associate Degree,"CCI, RCIS, BLS",Mid-Level,No,"Cardiac catheterization assistance, Sterile technique, Equipment operation, Patient monitoring","Cardiac catheterization equipment, Hemodynamic monitors, Contrast injectors, Angiography systems",Cardiac Catheterization Lab,Assist physicians during cardiac catheterization procedures and maintain catheterization lab equipment and sterile environment.,High,55000,75000, 
CARD-008,Echocardiography Technologist,Cardiology,Diagnostic,Cardiac Sonographer,Associate Degree,"RDCS, BLS",Mid-Level,No,"Echocardiography, Doppler studies, Cardiac imaging, Patient positioning","Echocardiogram machines, Ultrasound equipment, Doppler systems, PACS systems",Cardiology Clinic/Hospital,Perform echocardiograms and other cardiac ultrasound procedures to assess heart structure and function.,High,65000,85000, 
CARD-009,EKG Technician,Cardiology,Diagnostic,Electrocardiograph Technician,Certificate Program,"CET, BLS",Junior,No,"EKG interpretation, Lead placement, Patient preparation, Equipment maintenance","EKG machines, Holter monitors, Event monitors, Computer systems",Cardiology Clinic/Hospital,Perform electrocardiograms and cardiac rhythm monitoring to detect heart rhythm abnormalities and cardiac conditions.,High,35000,45000, 
CARD-010,Stress Test Technologist,Cardiology,Diagnostic,Exercise Physiologist,Bachelor Degree,"RCEPT, ACLS, BLS",Mid-Level,No,"Exercise stress testing, Nuclear cardiology, Patient monitoring, Emergency response","Treadmills, Exercise bikes, Nuclear imaging equipment, Cardiac monitors",Cardiology Clinic/Hospital,Conduct cardiac stress tests and nuclear cardiology procedures to evaluate heart function and diagnose coronary artery disease.,High,50000,70000, 
CARD-011,Cardiac Rehabilitation Specialist,Cardiology,Clinical,Rehabilitation Therapist,Bachelor Degree,"ACSM, BLS",Mid-Level,No,"Exercise prescription, Patient education, Cardiac rehabilitation, Lifestyle counseling","Exercise equipment, Cardiac monitors, Blood pressure monitors, Educational materials",Cardiac Rehabilitation Center,"Develop and implement cardiac rehabilitation programs for patients recovering from heart attacks, surgery, or other cardiac events.",High,55000,75000, 
CARD-012,Cardiac Perfusionist,Cardiology,Clinical,Perfusion Technologist,Bachelor Degree,"CCP, BLS",Senior,No,"Cardiopulmonary bypass, Heart-lung machine operation, Blood management, Surgical support","Heart-lung machines, Cardiopulmonary bypass equipment, Blood gas analyzers, Perfusion monitors",Cardiac Surgery Suite,Operate heart-lung machines during cardiac surgery to maintain circulation and oxygenation while the heart is stopped.,High,85000,120000, 
CARD-013,Cardiac Surgeon,Cardiology,Clinical,Surgeon,MD/DO,"ABTS-Cardiac Surgery, ACLS, BLS",Senior,Yes,"Cardiac surgery, Valve repair, Coronary bypass, Surgical decision-making","Cardiac surgery instruments, Heart-lung machines, Surgical microscopes, Monitoring equipment",Cardiac Surgery Suite,"Perform complex cardiac surgical procedures including coronary bypass, valve repair/replacement, and congenital heart defect corrections.",High,500000,800000, 
CARD-014,Cardiac Anesthesiologist,Cardiology,Clinical,Anesthesiologist,MD/DO,"ABA-Anesthesiology, Cardiac Anesthesia certification, ACLS, BLS",Senior,Yes,"Cardiac anesthesia, Hemodynamic monitoring, Perioperative care, Critical care","Anesthesia machines, Hemodynamic monitors, TEE equipment, Ventilators",Cardiac Surgery Suite/Cardiac ICU,Provide specialized anesthesia care for cardiac surgical patients and manage perioperative hemodynamic stability.,High,400000,550000, 
CARD-015,Physician Assistant - Cardiology,Cardiology,Clinical,Physician Assistant,Master in PA Studies,"NCCPA, ACLS, BLS",Mid-Level,No,"Clinical assessment, Procedure assistance, Patient education, Cardiac care protocols","Stethoscopes, EKG machines, Ultrasound equipment, EMR systems",Cardiology Clinic/Hospital,"Provide comprehensive cardiac care under physician supervision including patient assessment, diagnostic procedures, and treatment planning.",High,105000,135000, 
CARD-016,Cardiac ICU Nurse,Cardiology,Clinical,Critical Care Nurse,BSN,"CCRN, ACLS, BLS",Senior,No,"Critical care nursing, Hemodynamic monitoring, Ventilator management, Post-surgical care","Ventilators, Hemodynamic monitors, IABP devices, Medication pumps",Cardiac Intensive Care Unit,Provide specialized critical care nursing for patients with severe cardiac conditions and post-cardiac surgery patients.,High,78000,98000, 
CARD-017,Vascular Sonographer,Cardiology,Diagnostic,Vascular Technologist,Associate Degree,"RVT, RDMS, BLS",Mid-Level,No,"Vascular ultrasound, Doppler studies, Arterial/venous assessment, Image interpretation","Vascular ultrasound equipment, Doppler systems, ABI machines, PACS systems",Vascular Lab/Cardiology Clinic,Perform vascular ultrasound examinations to assess blood flow and detect vascular diseases affecting cardiac health.,High,68000,88000, 
CARD-018,Cardiac Technician,Cardiology,Support,Patient Care Technician,Certificate Program,"BLS, Patient Care Technician certification",Junior,No,"Patient care assistance, Vital signs monitoring, Equipment setup, Patient transport","Vital signs monitors, Patient transport equipment, Basic medical supplies, Communication devices",Cardiac Units/Cardiology Clinic,Assist clinical staff with patient care activities and provide support services in cardiac care settings.,High,35000,45000, 
CARD-019,Cardiology Department Manager,Cardiology,Administrative,Department Management,BSN/MBA,"Healthcare management certification, BLS",Senior,No,"Leadership, Budget management, Quality improvement, Staff development","Management software, Budget systems, Quality metrics tools, EMR systems",Cardiology Department,"Oversee daily operations of cardiology department including staff management, quality assurance, and resource allocation.",High,90000,130000, 
CARD-020,Cardiology Scheduler,Cardiology,Administrative,Patient Services,High School Diploma,Medical terminology preferred,Junior,No,"Appointment scheduling, Patient communication, Insurance verification, Medical terminology","Scheduling software, Phone systems, Insurance databases, EMR systems",Cardiology Clinic,"Coordinate patient appointments, manage scheduling systems, and provide administrative support for cardiology services.",Moderate,35000,45000, 
CARD-021,Cardiac Electrophysiology Technologist,Cardiology,Diagnostic,EP Lab Technologist,Associate Degree,"CEPS, ACLS, BLS",Mid-Level,No,"EP study assistance, Pacemaker programming, Ablation support, Monitoring systems","EP lab equipment, Pacemaker programmers, Ablation systems, Monitoring devices",Electrophysiology Lab,Assist physicians during electrophysiology procedures and maintain specialized EP lab equipment and monitoring systems.,High,62000,82000, 
CARD-022,Congenital Heart Disease Specialist,Cardiology,Clinical,Pediatric Cardiologist,MD/DO,"ABIM-Cardiology, ABP-Pediatric Cardiology, ACLS, PALS, BLS",Senior,Yes,"Congenital heart defects, Pediatric cardiology, Interventional procedures, Family counseling","Pediatric cardiac equipment, Congenital imaging systems, Interventional devices, Surgical instruments",Pediatric Cardiology/Congenital Heart Center,"Diagnose and treat congenital heart defects in children and adults, performing specialized interventional procedures.",High,400000,550000, 
CARD-023,Heart Failure Specialist,Cardiology,Clinical,Advanced Heart Failure Cardiologist,MD/DO,"ABIM-Cardiology, Advanced Heart Failure certification, ACLS, BLS",Senior,Yes,"Heart failure management, Mechanical circulatory support, Transplant evaluation, Advanced therapies","Heart failure monitoring devices, LVAD systems, Transplant evaluation tools, Hemodynamic monitors",Heart Failure Clinic/Advanced Heart Center,Specialize in advanced heart failure management including mechanical support devices and heart transplant evaluation.,High,380000,520000, 
CARD-024,Cardiology Medical Assistant,Cardiology,Support,Clinical Support,Medical Assistant Certificate,"CMA, BLS",Junior,No,"Patient preparation, Vital signs, EKG recording, Administrative tasks","Vital signs equipment, EKG machines, Medical supplies, EMR systems",Cardiology Clinic,Assist healthcare providers with clinical tasks and patient care coordination in cardiology practice settings.,High,40000,50000, 
CARD-025,Cardiology Research Coordinator,Cardiology,Administrative,Clinical Research,Bachelor Degree,CCRP preferred,Mid-Level,No,"Clinical research, Protocol management, Data collection, Regulatory compliance","Clinical trial databases, Research software, Data management systems, Statistical tools",Cardiology Research Center,"Coordinate clinical research studies in cardiology, manage study protocols, and ensure compliance with regulatory requirements.",High,55000,75000, 
CARD-026,Cardiology Unit Clerk,Cardiology,Administrative,Clerical Support,High School Diploma,Medical terminology preferred,Junior,No,"Data entry, Phone communication, Medical records, Patient coordination","Computer systems, Phone systems, Medical records systems, EMR systems",Cardiology Unit,"Provide clerical support including patient registration, medical records management, and communication coordination for cardiology units.",Moderate,32000,42000, 
CARD-027,Cardiovascular Pharmacist,Cardiology,Clinical,Clinical Pharmacist,PharmD,"BCPS, BLS",Senior,No,"Cardiac medications, Drug interactions, Clinical consultation, Anticoagulation management","Pharmacy information systems, Drug databases, Clinical decision support tools, EMR systems",Cardiology Department/Hospital Pharmacy,"Provide specialized pharmaceutical care for cardiovascular patients, including medication management and clinical consultation.",High,125000,155000, 
CARD-028,Cardiac Cath Lab Nurse,Cardiology,Clinical,Procedural Nurse,BSN,"ACLS, BLS, CCRN preferred",Senior,No,"Procedural nursing, Sterile technique, Patient monitoring, Post-procedure care","Cardiac catheterization equipment, Monitoring devices, Emergency medications, Sterile supplies",Cardiac Catheterization Lab,Provide specialized nursing care during cardiac catheterization procedures and manage patient care in the cath lab environment.,High,75000,95000, 
CARD-029,Preventive Cardiologist,Cardiology,Clinical,Preventive Medicine Physician,MD/DO,"ABIM-Cardiology, Preventive Medicine certification, ACLS, BLS",Senior,Yes,"Preventive cardiology, Risk assessment, Lifestyle medicine, Population health","Risk assessment tools, Lifestyle counseling materials, Screening equipment, EMR systems",Preventive Cardiology Clinic,"Focus on prevention of cardiovascular disease through risk assessment, lifestyle modification, and population health strategies.",High,320000,450000, 
CARD-030,Cardiology Social Worker,Cardiology,Support,Patient Services,MSW,"LCSW, Healthcare social work certification",Mid-Level,No,"Patient advocacy, Resource coordination, Family support, Discharge planning","Case management software, Resource databases, Communication systems, Assessment tools",Cardiology Department/Hospital,Provide psychosocial support and resource coordination for cardiac patients and their families throughout the care continuum.,High,58000,78000, 
NEURO-001,Neurologist,Neurology,Clinical,Attending Physician,MD/DO,"ABPN-Neurology, ACLS, BLS",Senior,No,"Neurological diagnosis, Clinical assessment, EEG interpretation, Seizure management","EEG machines, EMG equipment, Neurological examination tools, EMR systems",Neurology Clinic/Hospital,"Diagnose and treat disorders of the nervous system including epilepsy, stroke, multiple sclerosis, and neurodegenerative diseases. Provide comprehensive neurological care and management.",High,280000,400000, 
NEURO-002,Neurosurgeon,Neurology,Clinical,Surgeon,MD/DO,"ABNS-Neurosurgery, ACLS, BLS",Senior,Yes,"Neurosurgery, Craniotomy, Spinal surgery, Microsurgery","Neurosurgical instruments, Operating microscopes, Intraoperative monitoring, Surgical navigation systems",Neurosurgery Operating Room,"Perform surgical procedures on the brain, spinal cord, and peripheral nerves to treat tumors, trauma, vascular conditions, and other neurological disorders.",High,600000,800000, 
NEURO-003,Neurointensivists,Neurology,Clinical,Critical Care Physician,MD/DO,"ABPN-Neurology, ACCM-Critical Care, ACLS, BLS",Senior,Yes,"Neurocritical care, ICP monitoring, Stroke management, Mechanical ventilation","ICP monitors, Ventilators, Continuous EEG systems, Hemodynamic monitors",Neurocritical Care Unit,"Provide intensive care for patients with critical neurological conditions including stroke, traumatic brain injury, and post-neurosurgical complications.",High,350000,500000, 
NEURO-004,Epileptologist,Neurology,Clinical,Specialist Physician,MD/DO,"ABPN-Neurology, ABPN-Epilepsy, ACLS, BLS",Senior,Yes,"Epilepsy diagnosis, EEG interpretation, Seizure management, Epilepsy surgery evaluation","EEG machines, Video-EEG monitoring, Intracranial electrodes, Seizure detection systems",Epilepsy Monitoring Unit/Clinic,Specialize in diagnosis and treatment of epilepsy and seizure disorders through advanced EEG monitoring and surgical evaluation.,High,320000,450000, 
NEURO-005,Stroke Neurologist,Neurology,Clinical,Specialist Physician,MD/DO,"ABPN-Neurology, ACLS, BLS",Senior,Yes,"Stroke diagnosis, Thrombolysis, Endovascular procedures, Acute stroke management","CT/MRI scanners, Stroke protocols, Thrombolytic medications, Endovascular equipment",Stroke Unit/Emergency Department,"Specialize in acute stroke care including emergency diagnosis, thrombolytic therapy, and comprehensive stroke management and prevention.",High,310000,420000, 
NEURO-006,Neurology Resident,Neurology,Clinical,Resident Physician,MD/DO,"ACLS, BLS",Junior,No,"Neurological examination, Clinical assessment, EEG basics, Patient management","Neurological examination tools, EEG machines, EMG equipment, EMR systems",Neurology Department/Hospital,Complete neurology residency training while providing supervised patient care and developing expertise in neurological diagnosis and treatment.,High,55000,65000, 
NEURO-007,Neurology Nurse Practitioner,Neurology,Clinical,Advanced Practice Nurse,MSN,"ACLS, BLS, CNRN preferred",Mid-Level,No,"Neurological assessment, Patient education, Medication management, Chronic disease management","Neurological examination tools, EEG machines, EMR systems, Patient monitoring equipment",Neurology Clinic/Hospital,"Provide comprehensive neurological care including assessment, diagnosis, and management of neurological conditions in collaboration with neurologists.",High,110000,140000, 
NEURO-008,Neurology Nurse,Neurology,Clinical,Registered Nurse,BSN/ADN,"ACLS, BLS, CNRN preferred",Mid-Level,No,"Neurological monitoring, Medication administration, Patient education, Seizure management","Neurological monitors, IV pumps, EEG machines, Patient care equipment",Neurology Unit/Hospital,"Provide specialized nursing care for patients with neurological conditions including monitoring, medication administration, and patient education.",High,70000,90000, 
NEURO-009,EEG Technologist,Neurology,Diagnostic,Neurodiagnostic Technologist,Associate Degree,"R.EEG T., BLS",Mid-Level,No,"EEG recording, Electrode placement, Artifact recognition, Equipment maintenance","EEG machines, Video-EEG systems, Electrodes, Computer systems",EEG Lab/Neurology Department,Perform electroencephalogram recordings to detect brain wave abnormalities and assist in diagnosis of neurological conditions.,High,50000,68000, 
NEURO-010,EMG Technologist,Neurology,Diagnostic,Neurodiagnostic Technologist,Associate Degree,"R.EMG T., BLS",Mid-Level,No,"EMG testing, Nerve conduction studies, Patient preparation, Equipment operation","EMG machines, Nerve conduction equipment, Electrodes, Stimulation devices",EMG Lab/Neurology Department,Perform electromyography and nerve conduction studies to evaluate muscle and nerve function for diagnostic purposes.,High,52000,70000, 
NEURO-011,Neurosonographer,Neurology,Diagnostic,Ultrasound Technologist,Associate Degree,"RDMS, RVT, BLS",Mid-Level,No,"Transcranial Doppler, Carotid ultrasound, Vascular imaging, Patient positioning","Ultrasound machines, Doppler systems, Carotid duplex equipment, PACS systems",Vascular Lab/Neurology Department,Perform specialized ultrasound examinations of cerebral and carotid vessels to assess blood flow and detect vascular abnormalities.,High,65000,85000, 
